#       k             kp                  V           
   0.001185       0.001185         -1.982009e+00     
   0.001185       0.006239         -1.981944e+00     
   0.001185       0.015318         -1.981531e+00     
   0.001185       0.028399         -1.980378e+00     
   0.001185       0.045447         -1.977841e+00     
   0.001185       0.066417         -1.973132e+00     
   0.001185       0.091251         -1.965330e+00     
   0.001185       0.119882         -1.953426e+00     
   0.001185       0.152235         -1.936386e+00     
   0.001185       0.188220         -1.913234e+00     
   0.001185       0.227742         -1.883134e+00     
   0.001185       0.270694         -1.845476e+00     
   0.001185       0.316959         -1.799928e+00     
   0.001185       0.366414         -1.746463e+00     
   0.001185       0.418925         -1.685338e+00     
   0.001185       0.474351         -1.617032e+00     
   0.001185       0.532541         -1.542172e+00     
   0.001185       0.593339         -1.461467e+00     
   0.001185       0.656582         -1.375651e+00     
   0.001185       0.722098         -1.285463e+00     
   0.001185       0.789711         -1.191651e+00     
   0.001185       0.859239         -1.094989e+00     
   0.001185       0.930495         -9.963072e-01     
   0.001185       1.003286         -8.965322e-01     
   0.001185       1.077416         -7.967125e-01     
   0.001185       1.152685         -6.980284e-01     
   0.001185       1.228890         -6.017747e-01     
   0.001185       1.305826         -5.093172e-01     
   0.001185       1.383286         -4.220308e-01     
   0.001185       1.461060         -3.412209e-01     
   0.001185       1.538940         -2.680334e-01     
   0.001185       1.616714         -2.033626e-01     
   0.001185       1.694174         -1.477738e-01     
   0.001185       1.771110         -1.014542e-01     
   0.001185       1.847315         -6.420030e-02     
   0.001185       1.922584         -3.544340e-02     
   0.001185       1.996714         -1.431109e-02     
   0.001185       2.069505         2.830184e-04      
   0.001185       2.140761         9.534661e-03      
   0.001185       2.210289         1.464521e-02      
   0.001185       2.277902         1.673338e-02      
   0.001185       2.343418         1.677166e-02      
   0.001185       2.406661         1.555109e-02      
   0.001185       2.467459         1.367277e-02      
   0.001185       2.525649         1.156069e-02      
   0.001185       2.581075         9.488339e-03      
   0.001185       2.633586         7.611638e-03      
   0.001185       2.683041         6.001863e-03      
   0.001185       2.729306         4.674574e-03      
   0.001185       2.772258         3.612519e-03      
   0.001185       2.811780         2.782183e-03      
   0.001185       2.847765         2.144704e-03      
   0.001185       2.880118         1.662340e-03      
   0.001185       2.908749         1.301768e-03      
   0.001185       2.933583         1.035334e-03      
   0.001185       2.954553         8.411035e-04      
   0.001185       2.971601         7.023208e-04      
   0.001185       2.984682         6.066601e-04      
   0.001185       2.993761         5.454799e-04      
   0.001185       2.998815         5.131944e-04      
   0.001185       3.004739         4.769181e-04      
   0.001185       3.024957         3.651916e-04      
   0.001185       3.061273         2.066017e-04      
   0.001185       3.113597         5.545223e-05      
   0.001185       3.181789         -4.405060e-05     
   0.001185       3.265666         -7.760818e-05     
   0.001185       3.365002         -6.307692e-05     
   0.001185       3.479529         -3.276329e-05     
   0.001185       3.608938         -1.025393e-05     
   0.001185       3.752880         -9.164360e-07     
   0.001185       3.910968         7.458850e-07      
   0.001185       4.082775         3.679337e-07      
   0.001185       4.267838         6.884538e-08      
   0.001185       4.465657         7.517073e-10      
   0.001185       4.675701         -1.956134e-09     
