#       k             kp                 V11                    V12                    V21                    V22          
   0.001185       0.001185         -2.481242e+00          -5.305615e-06          -5.305615e-06          5.611601e-12      
   0.001185       0.006239         -2.481168e+00          -1.471275e-04          -5.304643e-06          1.551678e-10      
   0.001185       0.015318         -2.480698e+00          -8.868397e-04          -5.299682e-06          9.356825e-10      
   0.001185       0.028399         -2.479384e+00          -3.046035e-03          -5.285229e-06          3.213551e-09      
   0.001185       0.045447         -2.476494e+00          -7.779891e-03          -5.253590e-06          8.202495e-09      
   0.001185       0.066417         -2.471133e+00          -1.653137e-02          -5.195286e-06          1.742617e-08      
   0.001185       0.091251         -2.462255e+00          -3.095144e-02          -5.099804e-06          3.261807e-08      
   0.001185       0.119882         -2.448716e+00          -5.276742e-02          -4.956794e-06          5.555894e-08      
   0.001185       0.152235         -2.429354e+00          -8.359887e-02          -4.757690e-06          8.782289e-08      
   0.001185       0.188220         -2.403076e+00          -1.247356e-01          -4.497636e-06          1.304038e-07      
   0.001185       0.227742         -2.368962e+00          -1.768915e-01          -4.177331e-06          1.832202e-07      
   0.001185       0.270694         -2.326346e+00          -2.399929e-01          -3.804246e-06          2.445701e-07      
   0.001185       0.316959         -2.274878e+00          -3.130457e-01          -3.392627e-06          3.107187e-07      
   0.001185       0.366414         -2.214533e+00          -3.941355e-01          -2.961864e-06          3.759265e-07      
   0.001185       0.418925         -2.145575e+00          -4.805869e-01          -2.533389e-06          4.332353e-07      
   0.001185       0.474351         -2.068475e+00          -5.692475e-01          -2.126842e-06          4.760864e-07      
   0.001185       0.532541         -1.983827e+00          -6.568310e-01          -1.756800e-06          5.003283e-07      
   0.001185       0.593339         -1.892275e+00          -7.402270e-01          -1.431206e-06          5.056376e-07      
   0.001185       0.656582         -1.794470e+00          -8.167095e-01          -1.151939e-06          4.953471e-07      
   0.001185       0.722098         -1.691067e+00          -8.840264e-01          -9.168380e-07          4.745090e-07      
   0.001185       0.789711         -1.582738e+00          -9.404074e-01          -7.219113e-07          4.473436e-07      
   0.001185       0.859239         -1.470201e+00          -9.845393e-01          -5.626348e-07          4.158942e-07      
   0.001185       0.930495         -1.354269e+00          -1.015538e+00          -4.342558e-07          3.807817e-07      
   0.001185       1.003286         -1.235889e+00          -1.032917e+00          -3.317846e-07          3.430192e-07      
   0.001185       1.077416         -1.116187e+00          -1.036539e+00          -2.503242e-07          3.048349e-07      
